"award_id"	"contract_id"	"vendor"	"contract"	"estimated_cost"	"obligated_amount"	"start_date"	"end_date"	"issuing_office"	"type"
"720BHA23GR00316"	"720BHA23GR00316"	"ACTION CONTRE LA FAIM"	"Deployments of Assessment, WASH Cluster Coordinators, and Information Management Officers."	2250000	2250000	2023-11-01	2025-10-31	"USAID BHA"	"funded"
"720BHA24GR00094"	"720BHA24GR00094"	"CRS - USCCB"	"Provides emergency protection activities in support of the humanitarian operation in Madagascar (previously on \"approved waiver\" list)"	2e+06	2e+06	2024-06-01	2025-08-31	"USAID BHA"	"funded"
"720BHA23FA00027"	"720BHA23FA00027"	"OUTREACH AID TO THE AMERICAS INC"	"This is new FY 2023 grant funding the transport, delivery and distribution of 150.08 metric tons of the Harvest Lentil Pro to El Salvador."	186058	186058	2023-09-29	2025-09-28	"USAID BHA"	"funded"
"720BHA24FA00035"	"720BHA24FA00035"	"INTERNATIONAL MEDICAL CORPS"	"Award to International Medical Corps (IMC) for the transport/delivery of 51.84 MT Nutributter and 17.28 MT of Enov'MUM in Somalia."	248632	248632	2024-09-30	2026-09-29	"USAID BHA"	"funded"
"720BHA24GR00109"	"720BHA24GR00109"	"CRS - USCCB"	"2024 NEW CRS INLAND FREIGHT."	1304500	1304500	2023-10-01	2026-09-30	"USAID BHA"	"funded"
"720BHA24IO00138"	"720BHA24IO00138"	"UNICEF"	"New 24 month TII award for RUTF in DRC; ITSH/202e action."	8993500	8993500	2024-05-31	2026-05-30	"USAID BHA"	"funded"
"720BHA23FA00016"	"720BHA23FA00016"	"CITIHOPE INTERNATIONAL INC"	"The purpose of this new award is for the transport/delivery of food commodities to the Dominican Republic."	258658	258658	2023-09-29	2025-09-28	"USAID BHA"	"funded"
"720BHA23IO00174"	"720BHA23IO00174"	"UNICEF"	"New award for emergency nutrition assistance in DRC"	7061046	7061046	2023-06-16	2025-06-30	"USAID BHA"	"funded"
"720BHA24GR00039"	"720BHA24GR00039"	"CRS - USCCB"	"An emergency award to faith-based American organization Catholic Relief Services (CRS) to provide lifesaving food assistance in Zimbabwe. The sole activity will be to distribute US-produced food items to starving individuals in drought-affected areas of Z"	1165752	1165752	2024-03-06	2025-04-05	"USAID BHA"	"funded"
"720BHA21CA00035"	"720BHA21CA00035"	"CRS - USCCB"	"These three awards, collectively known as Resilience Food Security Activities, provide lifesaving food assistance to 1 million people affected by drought and conflict. The U.S. government has already procured enough food to feed these people for 4 months."	68884789	67460098	2021-09-08	2026-09-07	"USAID BHA"	"funded"
"720BHA24IO00237"	"720BHA24IO00237"	"UNICEF"	"This action provides Title II funding for nutrition assistance in 11 countries including RUTF and funds to support additional adjacent activities."	50642147	50642147	2024-07-01	2025-12-31	"USAID BHA"	"funded"
"720BHA25IO00012"	"720BHA25IO00012"	"UNICEF"	"New Title II award for 15 months to provide malnutrition support via RUTF commodities to children under five facing MAM and SAM in Yemen"	10312740	10312740	2025-01-01	2026-03-31	"USAID BHA"	"funded"
"720BHA24FA00031"	"720BHA24FA00031"	"EVANGELISTIC INTERNATIONAL MINISTRIES, INC."	"An assistance award to support a program that will address food insecurity in the Shinyanga and Tabora Regions of Tanzania. This program will distribute daily meals to 14,400 school children in 80 schools for two school years. This program will also distr"	270374	270374	2024-09-30	2026-09-29	"USAID BHA"	"funded"
"720BHA23FA00018"	"720BHA23FA00018"	"BATEY RELIEF ALLIANCE INC"	"This award funds the transportation and delivery of 150.08 metric tons of Harvest Lentil Pro to the Dominican Republic to improve the health, growth, and development of beneficiaries."	198856	198856	2023-09-29	2025-09-28	"USAID BHA"	"funded"
"720BHA24IO00147"	"720BHA24IO00147"	"UNICEF"	"To approve a new TII nutrition award to UNICEF in Madagascar and obligate $844,800 in FY24 TII funds (including $187,254 in ITSH and $657,546 in 202e) (AF20243043)"	844800	844800	2024-05-31	2025-11-30	"USAID BHA"	"funded"
"720BHA22H00012"	"720BHA22H00012"	"U S GEOLOGICAL SURVEY"	"FEWS NET, a Congressionally-mandated program, is the steering wheel for delivery of life-saving food aid: it tells USAID where to deliver the food and how much is needed. USGS provides satellite-based products measuring rainfall, mapping area under agricu"	45160443	17267537	2022-10-01	2027-09-30	"USAID BHA"	"funded"
"720BHA24GR00053"	"720BHA24GR00053"	"ACTION CONTRE LA FAIM"	"New 15 month award for RUTF pipeline support through pre-positioning of the buffer stock in Borno, Adamawa and Yobe states of Title II funds."	1010065	1010065	2024-03-14	2025-06-13	"USAID BHA"	"funded"
"720BHA22H00004"	"720BHA22H00004"	"U S GEOLOGICAL SURVEY"	"The Volcano Disaster Assistance Program (VDAP) proposes a five-year plan to continue its long history as a collaboration between USAID and USGS to achieve profound reduction of volcanic risk through short-term volcano response and long-term capacity build"	35194094	12863000	2022-10-01	2027-09-30	"USAID BHA"	"funded"
"720BHA24H00001"	"720BHA24H00001"	"SECRETARY, OFFICE OF THE"	"IAA for ISSO services by the DoI (HB20241731 Dept of Interior); 7600B Order against CIO blanket 7600A GT&C Number: CIO23_DOI_ISSO"	957900.25	957900.25	2023-05-02	2028-05-21	"USAID BHA"	"funded"
"720BHA24IO00100"	"720BHA24IO00100"	"UNICEF"	"The purpose of this award is to provide a contribution of in-kind ready-to-use therapeutic food (RUTF) and financial support to UNICEF’s program in Mali for 18 months to treat 70,000 children under five years of age and 4,350 individuals over 18 years of"	1149500	1149500	2024-04-05	2025-10-04	"USAID BHA"	"funded"
"720BHA23FA00033"	"720BHA23FA00033"	"MARY DINAH FOUNDATION"	"This is a new award funding the transport, delivery and distribution of 69.12 metric tons of Enov'Nutributter and 17.28 MT of Enov'MUM in Nigeria."	297245	297245	2023-09-29	2025-09-28	"USAID BHA"	"funded"
"720BHA24FA00034"	"720BHA24FA00034"	"MARY DINAH FOUNDATION"	"New fixed amount award for the Mary Dinah Foundation for the transport, delivery, and distribution of 69.12 MT of Enov'Nutributter and 17.28 MT of Enov'MUM and a cash contribution of $299,957.00 in Cameroon."	299957	299957	2024-09-30	2026-09-29	"USAID BHA"	"funded"
"720BHA23FA00020"	"720BHA23FA00020"	"ALIMA USA, INC."	"An assistance award to support the rapid transportation, delivery, and distribution of shelf-stable, prepackaged commodities to be distributed under the International Food Relief Partnership program. Distribution of Enov’ Nutributter and Enov' Mum will be"	180900	180900	2023-09-29	2025-09-28	"USAID BHA"	"funded"
"720BHA23FA00032"	"720BHA23FA00032"	"CREZCONUT"	"The purpose of this award is for the transport/delivery of food commodities to Ecuador."	301255	301255	2023-09-29	2025-09-28	"USAID BHA"	"funded"
"720BHA22H00005"	"720BHA22H00005"	"NASA/GSFC"	"To solicit services from NASA to benefit FEWS NET"	10997496	4205000	2022-10-01	2027-07-27	"USAID BHA"	"funded"
"720BHA22H00002"	"720BHA22H00002"	"USDA/FAS"	"This in an Interagency Agreement with the US Department of Agriculture (USDA) to provide BHA with technical assistance and management support, including 19 technical expert staffing positions, in nutrition, livelihoods, agriculture, food security, public"	11065061	11065061	2022-04-10	2027-04-09	"USAID BHA"	"funded"
"720BHA24GR00299"	"720BHA24GR00299"	"THE ALLIANCE FOR INTERNATIONAL MEDICAL ACTION"	"This award will provide financial support to ALIMA for a program entitled, “Emergency Response to Improve Access to Quality Health Services for People Affected by the Security and Humanitarian Crisis in the Centre-Nord, Nord and Sahel Regions of Burkina F"	8200000	8200000	2024-09-01	2026-08-31	"USAID BHA"	"funded"
"720BHA24IO00194"	"720BHA24IO00194"	"UNICEF"	"To conduct winterization, WASH, child protection, cluster coordination, and MPCA activities in Ukraine."	54500000	54500000	2024-08-01	2025-07-31	"USAID BHA"	"funded"
"720BHA24FA00011"	"720BHA24FA00011"	"ORGANIZATION FOR REHABILITATION AND DEVELOPMENT IN AMHARA"	"This award to a local NGO in Ethiopia reduces risk of disease and death by improving access to clean and safe water and sanitation services for those affected by drought by maintaining water systems and wells, and providing hygiene supplies and chlorine f"	1e+06	1e+06	2024-08-06	2025-05-05	"USAID BHA"	"funded"
"720BHA24GR00265"	"720BHA24GR00265"	"INTERNATIONAL RESCUE COMMITTEE, INC."	"To provide vital protection services for conflict-affected populations in Burkina Faso."	15800000	15800000	2024-09-09	2026-09-08	"USAID BHA"	"funded"
"720BHA24GR00190"	"720BHA24GR00190"	"NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN"	"Provide toilets to keep human sewage contained at priority health clinics; Repair drinking water systems so that families have a minimum emergency amounts of clean water; Facilitate the legal documentation of displaced people so that they can access basi"	4500000	2250000	2024-09-30	2026-09-29	"USAID BHA"	"funded"
"720BHA23IO00230"	"720BHA23IO00230"	"FEDERATION INTERNATIONALE DES SOCIETES DE LA CROIX-ROUGE ET DU CROISSANT ROUGE"	"New 18-month $1,496,422 funded IDA (FD-X23) award to the International Federation of the Red Cross/Red Crescent supporting WASH and DRR activities in Zimbabwe."	1496422	1496422	2023-09-18	2025-03-17	"USAID BHA"	"funded"
"720BHA23GR00302"	"720BHA23GR00302"	"INTERNATIONAL MEDICAL CORPS"	"The purpose of this REQ is for a new $2,000,000.00, 12-month IDA (FD-X23) funded award to the International Medical Corps for Zimbabwe, for WASH interventions in Matabeleland South."	2e+06	2e+06	2024-01-01	2025-02-28	"USAID BHA"	"funded"
"720BHA23GR00147"	"720BHA23GR00147"	"SAVE THE CHILDREN FEDERATION, INC."	"To deliver emergency food security and livelihoods support to vulnerable households in Gaza."	23651491	23651491	2023-05-01	2025-04-13	"USAID BHA"	"funded"
"720BHA23CA00015"	"720BHA23CA00015"	"MERCY CORPS"	"To provide multi-sectoral services to conflict-affected populations in Borno state, Nigeria"	25267621	25267621	2023-05-01	2025-04-30	"USAID BHA"	"funded"
"720BHA23GR00196"	"720BHA23GR00196"	"SI"	"This award will provide financial support to SI for a program entitled, “Provision of a WASH and Shelter emergency response for conflict-affected communities in Tillabéri region, Niger” in Niger. The goal is alleviate the immediate shelter and WASH needs"	4e+06	4e+06	2023-06-01	2025-05-31	"USAID BHA"	"funded"
"720BHA24GR00046"	"720BHA24GR00046"	"RELIEF INTERNATIONAL"	"New 10-month award for enhancing health outcomes for crisis-affected communities in Lebanon."	4120000	4120000	2024-04-01	2025-04-30	"USAID BHA"	"funded"
"720BHA24IO00111"	"720BHA24IO00111"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"New IOM award to provide HCIMA, Shelter and Settlements, WASH, and ERMS assistance in the Central African Republic."	13500000	13500000	2024-04-01	2025-09-30	"USAID BHA"	"funded"
"720BHA24GR00211"	"720BHA24GR00211"	"NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN"	"To promote resilience and improve the living conditions of conflict-affected communities in Colombia"	1e+06	1e+06	2024-08-01	2025-07-31	"USAID BHA"	"funded"
"720BHA24GR00095"	"720BHA24GR00095"	"PLAN INTERNATIONAL USA, INC."	"To provide critical health, nutrition, WASH, and protection support to populations in need in Ethiopia."	4e+06	4e+06	2024-05-20	2025-05-19	"USAID BHA"	"funded"
"720BHA22GR00296"	"720BHA22GR00296"	"WORLD RELIEF CORP OF NATIONAL ASS"	"To provide emergency Agriculture, Health, Nutrition, Water, Sanitation, and Hygiene programming in Sudan."	8736474	8736474	2022-09-01	2025-02-28	"USAID BHA"	"funded"
"720BHA24GR00255"	"720BHA24GR00255"	"INTERNATIONAL MEDICAL CORPS"	"New award for $9.2m for Health, Nutrition, and Protection activities in Ouaka, Haute- Kotto and Vakaga prefectures."	9200000	9200000	2024-08-01	2025-07-31	"USAID BHA"	"funded"
"720BHA24GR00093"	"720BHA24GR00093"	"DOCTORS OF THE WORLD USA, INC."	"Monthly deployment of 2 multi-purpose mobile clinics (MMC) in Mali to provide basic health care to crisis-affected populations in remote and hard-to-reach areas and IDP sites where the health system is otherwise non-functional."	2e+06	2e+06	2024-06-01	2025-11-30	"USAID BHA"	"funded"
"720BHA23GR00238"	"720BHA23GR00238"	"CLOVEK V TISNI, O.P.S."	"People in Need provides emergency assistance to people in need in Syria. They provide essential services such as emergency, lifesaving food to hungry people, critical nutritous food to starving children and mothers, supply essential soap, water containers"	50882800	50882800	2023-09-01	2025-08-31	"USAID BHA"	"funded"
"720BHA22GR00306"	"720BHA22GR00306"	"WORLD VISION INC."	"To provide basic emergency health, WASH, ag, nutrition and protection services in South Sudan, coordinating closely with other implementers"	13200000	13200000	2022-09-01	2025-02-28	"USAID BHA"	"funded"
"720BHA24CA00025"	"720BHA24CA00025"	"ACTION CONTRE LA FAIM"	"To provide vital multi-sectoral support activites for Internally Displaced People (IDPs) in the Democratic Republic of the Congo (DRC)."	5e+07	2.5e+07	2024-10-01	2026-09-30	"USAID BHA"	"funded"
"720BHA24FA00012"	"720BHA24FA00012"	"GRASSROOT INITIATIVE FOR STRENGTHENING COMMUNITY RESILIENCE"	"Support for Protection and GBV interventions in Northeast Nigeria"	5e+05	5e+05	2024-08-08	2025-08-07	"USAID BHA"	"funded"
"720BHA24GR00269"	"720BHA24GR00269"	"CRS - USCCB"	"A humanitarian award to a US faith-based non-proft organization in Somalia that provides lifesaving medical care and medicine for sick and/or malnourished women and children, trains community volunteers to promote good hygiene practices (like handwashing)"	7500000	7500000	2024-12-01	2025-11-30	"USAID BHA"	"funded"
"720BHA24IO00121"	"720BHA24IO00121"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"A continuation of the DTM and NFI pipeline award combined under one award to provide vital multisectoral assistance for conflict-affected population in Sudan."	1.5e+07	1.5e+07	2024-04-15	2025-04-14	"USAID BHA"	"funded"
"720BHA23GR00258"	"720BHA23GR00258"	"NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN"	"New 2 year award for Shelter and Settlements, WASH, and Protection activities in Tanganyika, Ituri and North Kivu provinces in the DRC."	1.3e+07	1.3e+07	2023-08-15	2026-02-14	"USAID BHA"	"funded"
"720BHA23GR00324"	"720BHA23GR00324"	"SI"	"To provide lifesaving and life-sustaining emergency support to conflict-affected populations in Sudan, in the states of South Darfur, West Darfur and Central Darfur."	26500000	26500000	2023-09-01	2025-08-31	"USAID BHA"	"funded"
"720BHA23GR00320"	"720BHA23GR00320"	"AFRICAN INITIATIVE FOR RELIEF AND DEVELOPMENT"	"To provide water, sanitation and hygiene and shelter and sanitations activities to vulnerable populations in eastern Democratic Republic of Congo."	3999959	3999959	2023-11-01	2025-03-31	"USAID BHA"	"funded"
"720BHA24GR00191"	"720BHA24GR00191"	"ACTION CONTRE LA FAIM"	"To provide multi-sector support to conflict-affected populations in Burkina Faso."	1.4e+07	1.4e+07	2024-07-01	2026-06-30	"USAID BHA"	"funded"
"720BHA24GR00301"	"720BHA24GR00301"	"CENTRE D'ETUDE ET DE COOPERATION INTERNATIONALE"	"This award will provide $2,350,000.00 in financial support to CECI for a program entitled “Emergency Humanitarian Response in Food Assistance, WASH and Protection for Vulnerable Host and Displaced Communities in the Regions of Timbuktu, Ségou and Bandiaga"	2350000	2350000	2024-08-20	2025-08-19	"USAID BHA"	"funded"
"720BHA24IO00244"	"720BHA24IO00244"	"UNFPA"	"New award for Health, Protection, MPCA, and HCIMA in Syria."	17090000	17090000	2024-10-01	2026-09-30	"USAID BHA"	"funded"
"720BHA24GR00113"	"720BHA24GR00113"	"WORLD VISION INC."	"New 24-month IDA award of $1,800,000 to support Agriculture, Economic Recovery and Market Systems, and Multipurpose Case Assistance activities."	1800000	9e+05	2024-04-18	2026-04-17	"USAID BHA"	"funded"
"720BHA24GR00314"	"720BHA24GR00314"	"ADVENTIST DEVELOPMENT AND RELIEF AGENCY INTERNATIONAL"	"To provide vital multisectoral assistance for conflict-affected population in Sudan"	9e+06	9e+06	2024-09-01	2025-08-31	"USAID BHA"	"funded"
"720BHA24GR00126"	"720BHA24GR00126"	"MERCY CORPS"	"Funding for emergency Health, WASH, Nutrition, Protection and MPCA activities in Ethiopia"	8500000	8500000	2024-05-31	2025-05-30	"USAID BHA"	"funded"
"720BHA24GR00139"	"720BHA24GR00139"	"CARE"	"Integrated, Multi-sectoral Emergency Humanitarian Assistance to Conflict Affected Populations"	15099500	15099500	2024-09-01	2025-11-30	"USAID BHA"	"funded"
"720BHA24IO00264"	"720BHA24IO00264"	"UNICEF"	"This project is designed to address and mitigate the effects of malnutrition exacerbated by El Niño-induced droughts in Namibia. It focuses on both immediate emergency response and long-term resilience building through comprehensive nutrition intervention"	1500000	1500000	2024-09-16	2026-03-15	"USAID BHA"	"funded"
"720BHA24GR00198"	"720BHA24GR00198"	"WORLD VISION INC."	"This 12-month award will provide humanitarian assistance in the Health and Nutrition sectors for vulnerable people in Northwest and Northcentral Syria."	1835000	1835000	2024-10-01	2025-09-30	"USAID BHA"	"funded"
"720BHA23GR00266"	"720BHA23GR00266"	"PREMIERE URGENCE INTERNATIONALE"	"12-month follow-on award for water, sanitation, and hygiene services in central Syria."	2100000	2100000	2023-10-01	2025-02-28	"USAID BHA"	"funded"
"720BHA23GR00212"	"720BHA23GR00212"	"TIERARZTE OHNE GRENZEN E.V."	"Improved access to safe and affordable drinking water and improved hygiene practices for for drought affected and displaced communities in Oromiya, South Omo and Somali Regions"	1.2e+07	1.2e+07	2023-07-17	2025-09-30	"USAID BHA"	"funded"
"720BHA22CA00058"	"720BHA22CA00058"	"FOLKEKIRKENS NODHJAELP"	"To provide emergency support to conflict-affected populations through Economic Recovery and Market Systems, Water, Sanitation and Hygiene, Shelter, and Protection activities in the Democratic Republic of the Congo."	1.1e+07	1.1e+07	2022-08-01	2025-04-30	"USAID BHA"	"funded"
"720BHA24IO00166"	"720BHA24IO00166"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"New award to IOM to support multi-sectoral assistance to displaced populations in Chad"	4e+06	4e+06	2024-07-22	2025-07-21	"USAID BHA"	"funded"
"720BHA24GR00223"	"720BHA24GR00223"	"CONCERN WORLDWIDE US INC"	"Activity to support integrated health, nutrition, WASH, food assistance, NFI/shelter for vulnerable groups and support for strengthening of the local health system in Sudan."	1e+07	1e+07	2024-12-01	2025-11-30	"USAID BHA"	"funded"
"720BHA24GR00290"	"720BHA24GR00290"	"LINKAGES FOR ECONOMIC ADVANCEMENT OF THE DISADVANTAGED"	"provide life saving humanitarian assistance to meet emergency food security and WASH needs of the drought affected people in Zimbabwe."	2e+06	2e+06	2024-10-01	2025-12-31	"USAID BHA"	"funded"
"720BHA24GR00155"	"720BHA24GR00155"	"SAVE THE CHILDREN FEDERATION, INC."	"This humanitarian assistance program will provide $11,805,000 in assistance for vulnerable Syrians."	11805000	11805000	2024-08-01	2025-07-31	"USAID BHA"	"funded"
"720BHA24IO00120"	"720BHA24IO00120"	"UNFPA"	"FY24 award to UNFPA for emergency health and protection response in Madagascar for drought"	9e+05	9e+05	2024-05-10	2025-08-09	"USAID BHA"	"funded"
"720BHA24GR00128"	"720BHA24GR00128"	"FAMILY HEALTH INTERNATIONAL"	"To provide Protection, WASH, Nutrition, and Health emergency services Ethiopia."	8500000	8500000	2024-05-01	2025-04-30	"USAID BHA"	"funded"
"720BHA24GR00105"	"720BHA24GR00105"	"INTERCHURCH MEDICAL ASSISTANCE"	"Health, nutrition, and WASH humanitarian activities in South Sudan."	5e+06	5e+06	2024-05-01	2026-04-30	"USAID BHA"	"funded"
"720BHA24IO00060"	"720BHA24IO00060"	"INSTITUTO INTERAMERICANO DE COOPERACION PARA LA AGRICULTURA"	"New Award for food Security and Agriculture in Palma and Grand Lagon and in La Source and Gros Mangle for 25,700 beneficiaries"	1500000	1500000	2024-02-28	2025-02-27	"USAID BHA"	"funded"
"720BHA24GR00130"	"720BHA24GR00130"	"GOAL"	"New award in Food Assistance, MPCA, Nutrition, WASH, ERMS in northwest Syria."	6.1e+07	6.1e+07	2024-07-01	2025-06-30	"USAID BHA"	"funded"
"720BHA23GR00198"	"720BHA23GR00198"	"AFRICAN INITIATIVE FOR RELIEF AND DEVELOPMENT"	"Humanitarian Assistance to Improve Shelter and Sanitary Conditions in Sub Prefectures of Grimari and Bambari, in Ouaka Prefecture, Central African Republic (CAR)."	1449960	1449960	2023-07-27	2025-07-26	"USAID BHA"	"funded"
"720BHA24GR00315"	"720BHA24GR00315"	"ENTRAIDE PROTESTANTE SUISSE (EPER) (SWISS CHURCH AID (HEKS/EPER"	"Multisectoral support for ERMS, Agriculture and WASH interventions to vulnerable populations in the DRC."	7e+06	7e+06	2024-09-16	2025-08-15	"USAID BHA"	"funded"
"720BHA24GR00146"	"720BHA24GR00146"	"CARE"	"(ME20241578) This FY24 award will provide $25,000,000 funding in Food, MPCA, Protection, Health, S&S and HCIMA for 12 months (July 1, 2024 to June 30, 2025) reaching beneficiaries in Northwest and Northeast Syria."	25200000	25200000	2024-07-01	2025-06-30	"USAID BHA"	"funded"
"720BHA23GR00242"	"720BHA23GR00242"	"COOPI"	"For a new, incrementally funded award in health, protection, and nutrition sectors in Tillaberi and Tahoua regions of Niger."	5500000	5500000	2023-09-15	2025-09-14	"USAID BHA"	"funded"
"720BHA23IO00147"	"720BHA23IO00147"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"Award to provide life saving medical supplies, mobile health clinics, clean water and sanitation equipment, and training for healthcare workers to provide relief for communities devastated by the ongoing civil war in Burma."	24075000	24075000	2023-06-06	2025-06-05	"USAID BHA"	"funded"
"720BHA24IO00201"	"720BHA24IO00201"	"INTERNATIONAL ORGANIZATION FOR MIGRATION"	"New $6,350,000 award to support HCIMA, HPSAA, Protection, S&S, and WASH activities and NFI procurement for IDPs and host communities"	6350000	6350000	2024-10-01	2025-09-30	"USAID BHA"	"funded"
"720BHA24GR00076"	"720BHA24GR00076"	"RELIEF INTERNATIONAL"	"To provide vital multi-sectoral support to conflict impacted communities"	5500000	5500000	2024-04-14	2025-04-13	"USAID BHA"	"funded"
"720BHA24GR00259"	"720BHA24GR00259"	"NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN"	"(AL20242770) New FY24 award for MPCA, ERMS, Shelter, Protection, WASH and HCIMA activities."	4475000	4475000	2024-09-16	2025-09-15	"USAID BHA"	"funded"
"720BHA24GR00246"	"720BHA24GR00246"	"DOCTORS OF THE WORLD USA, INC."	"A 12-month award to provide life-saving funding to increase the resilience of 100,029 conflict and earthquake affected individuals in northwest Syria by enhancing their access to life-saving medical services."	5500000	5500000	2024-10-01	2025-09-30	"USAID BHA"	"funded"
"720BHA23GR00236"	"720BHA23GR00236"	"INTERSOS ORGANIZZAZIONE UMANITARIA ONLUS"	"Humanitarian assistance program to provide healthcase, safe water, and nutrition to conflict-affected people in Nigeria. Activities include providing lifesaving medical services for displaced individuals including woman and children, providing highly nutr"	4286000	4286000	2023-08-15	2025-03-31	"USAID BHA"	"funded"
"720BHA24GR00169"	"720BHA24GR00169"	"RACIDA"	"To improve household food security and nutrition status for communities in Kenya through the provision of integrated nutrition, WASH, food assistance, and livestock interventions."	5310000	5310000	2024-07-26	2025-07-25	"USAID BHA"	"funded"
"720BHA24GR00144"	"720BHA24GR00144"	"ADVENTIST DEVELOPMENT AND RELIEF AGENCY INTERNATIONAL"	"Implementing Health, Nutrition, and MPCA activities to conflict-affected communities."	6e+06	6e+06	2024-07-01	2025-09-30	"USAID BHA"	"funded"
"720BHA24GR00023"	"720BHA24GR00023"	"FOLKEKIRKENS NODHJAELP"	"This is a humanitarian award to provide shelter kits to vulnerable, displaced people in the Nuba mountains of Sudan in hard to reach and remote areas. The kits include items like plastic sheets and mosquito nets to allow people with no formal housing to m"	8200000	8200000	2024-02-02	2025-03-31	"USAID BHA"	"funded"
"720BHA23CA00026"	"720BHA23CA00026"	"INTERNATIONAL MEDICAL CORPS"	"To provide emergency health, protection, nutrition and DRR support in Gaza"	80078508	80078508	2023-07-01	2025-04-13	"USAID BHA"	"funded"
"720BHA24GR00187"	"720BHA24GR00187"	"ACTION CONTRE LA FAIM"	"To approve a new award to ACF for health, nutrition, food assistance, and coordination in Madagascar and obligate $3.1 million in FY24 IDA. The objective of this program is to contribute to the food and nutrition security of the most vulnerable population"	3100000	3100000	2024-08-01	2025-07-31	"USAID BHA"	"funded"
